"","X","hour","employeeid","departmentid","clientid"
"1",1,11,7,1,459
"2",2,9,4,86,487
"3",3,12,1,52,521
"4",4,6,2,55,608
"5",5,11,5,7,488
"6",6,10,6,16,97
"7",7,8,2,20,595
"8",8,11,1,50,782
"9",9,9,4,30,590
"10",10,13,3,2,120
"11",11,15,4,36,756
"12",12,11,5,64,469
"13",13,7,5,71,279
"14",14,12,9,37,333
"15",15,6,4,56,211
"16",16,9,2,22,751
"17",17,11,5,37,349
"18",18,10,9,14,952
"19",19,8,2,48,259
"20",20,12,3,50,488
"21",21,9,6,33,879
"22",22,12,8,13,121
"23",23,11,1,77,665
"24",24,7,5,96,950
"25",25,7,3,87,321
"26",26,13,7,2,340
"27",27,10,7,40,162
"28",28,13,3,93,341
"29",29,13,1,77,720
"30",30,12,8,65,204
"31",31,8,5,17,354
"32",32,13,3,31,371
"33",33,13,4,34,363
"34",34,10,5,72,780
"35",35,11,8,40,345
"36",36,15,7,83,732
"37",37,11,6,21,502
"38",38,8,3,18,913
"39",39,8,5,98,891
"40",40,9,9,26,825
"41",41,14,9,65,766
"42",42,17,6,50,589
"43",43,17,6,17,298
"44",44,11,6,61,177
"45",45,14,7,68,725
"46",46,8,2,48,513
"47",47,13,6,94,410
"48",48,13,9,72,213
"49",49,13,3,62,812
"50",50,11,5,11,751
"51",51,8,4,94,887
"52",52,10,9,40,497
"53",53,9,6,54,843
"54",54,11,8,98,939
"55",55,12,2,88,992
"56",56,9,3,52,75
"57",57,2,4,35,940
"58",58,12,7,5,867
"59",59,10,9,1,949
"60",60,5,1,99,453
"61",61,10,6,92,872
"62",62,10,5,56,687
"63",63,9,8,53,450
"64",64,13,5,59,68
"65",65,6,7,78,90
"66",66,9,1,97,457
"67",67,11,9,56,675
"68",68,10,2,22,936
"69",69,5,4,31,856
"70",70,8,2,82,547
"71",71,10,4,95,103
"72",72,10,1,97,164
"73",73,12,2,77,236
"74",74,14,9,47,821
"75",75,11,5,85,648
"76",76,14,2,15,22
"77",77,11,5,76,643
"78",78,8,9,32,568
"79",79,10,2,85,487
"80",80,13,4,65,434
"81",81,11,4,94,253
"82",82,11,8,84,669
"83",83,10,1,97,286
"84",84,9,9,64,502
"85",85,11,7,62,952
"86",86,15,3,5,122
"87",87,14,3,40,448
"88",88,18,1,43,378
"89",89,13,4,23,440
"90",90,7,4,52,546
"91",91,8,4,10,977
"92",92,17,9,4,679
"93",93,12,8,51,982
"94",94,7,3,16,232
"95",95,11,9,27,180
"96",96,10,7,51,869
"97",97,15,3,70,285
"98",98,9,5,14,414
"99",99,9,7,63,810
"100",100,10,9,54,475
"101",101,11,8,86,456
"102",102,11,3,52,399
"103",103,3,6,48,439
"104",104,12,6,50,434
"105",105,14,2,77,890
"106",106,9,9,29,479
"107",107,12,2,53,28
"108",108,13,4,73,726
"109",109,16,3,42,536
"110",110,8,4,22,212
"111",111,13,4,1,82
"112",112,13,4,31,201
"113",113,13,2,83,777
"114",114,12,5,58,266
"115",115,9,9,49,528
"116",116,6,6,79,85
"117",117,9,6,85,498
"118",118,17,2,50,311
"119",119,9,9,87,698
"120",120,12,7,88,708
"121",121,12,3,21,823
"122",122,15,4,25,7
"123",123,9,1,43,662
"124",124,14,5,99,751
"125",125,6,4,60,34
"126",126,11,1,11,692
"127",127,15,4,20,936
"128",128,6,5,21,502
"129",129,10,3,76,410
"130",130,9,5,56,134
"131",131,8,3,17,272
"132",132,12,1,77,724
"133",133,12,4,30,459
"134",134,7,5,55,721
"135",135,11,3,61,89
"136",136,7,6,10,438
"137",137,10,3,91,116
"138",138,8,3,79,684
"139",139,9,2,22,278
"140",140,7,2,1,715
"141",141,13,9,52,723
"142",142,10,7,34,539
"143",143,11,8,63,469
"144",144,11,5,51,139
"145",145,14,3,17,948
"146",146,12,3,29,842
"147",147,15,5,87,202
"148",148,5,7,83,879
"149",149,13,5,35,815
"150",150,16,9,86,240
"151",151,14,2,86,968
"152",152,16,6,72,373
"153",153,9,9,42,590
"154",154,12,9,8,549
"155",155,12,1,11,518
"156",156,12,1,75,438
"157",157,8,8,49,7
"158",158,13,5,83,539
"159",159,9,6,6,711
"160",160,9,9,67,220
"161",161,9,2,31,3
"162",162,11,1,32,214
"163",163,10,9,33,617
"164",164,11,7,38,498
"165",165,9,5,31,231
"166",166,13,8,95,781
"167",167,15,7,71,29
"168",168,13,9,24,704
"169",169,5,2,6,159
"170",170,12,2,4,904
"171",171,13,6,55,931
"172",172,15,7,14,751
"173",173,14,1,85,433
"174",174,5,2,53,549
"175",175,10,2,24,983
"176",176,20,6,23,975
"177",177,12,7,28,135
"178",178,7,1,41,949
"179",179,13,9,52,641
"180",180,12,6,6,265
"181",181,6,3,25,224
"182",182,15,4,61,34
"183",183,12,3,95,454
"184",184,8,7,6,444
"185",185,12,9,41,461
"186",186,10,3,9,980
"187",187,16,5,63,539
"188",188,14,2,53,831
"189",189,11,1,2,22
"190",190,15,3,23,208
"191",191,10,2,26,841
"192",192,10,3,81,136
"193",193,7,2,92,736
"194",194,16,1,34,129
"195",195,9,2,6,790
"196",196,13,6,43,458
"197",197,7,6,13,944
"198",198,12,6,2,995
"199",199,13,5,82,954
"200",200,11,7,4,398
